Type;Subtype;Value;Description
FileExt;Ignore;.labels;Apex
FileExt;Ignore;.objecttranslation;Apex
FileExt;Ignore;.resource;Apex
FileExt;Ignore;.translation;Apex
FileExt;Ignore;.bin;Binary
FileExt;Ignore;.cd;Class diagram
FileExt;Ignore;.cer;Certificate
FileExt;Ignore;.crt;Certificate
FileExt;Ignore;.cert;Certificate
FileExt;Ignore;.pem;Certificate
FileExt;Ignore;.csproj;Project
FileExt;Ignore;.pbxproj;Project
FileExt;Ignore;.cache;Data
FileExt;Ignore;.csv;Data
FileExt;Ignore;.dat;Data
FileExt;Ignore;.db;Data
FileExt;Ignore;.dbf;Data
FileExt;Ignore;.db3;Data
FileExt;Ignore;.sqlite;Data
FileExt;Ignore;.sqlite3;Data
FileExt;Ignore;.iml;Definition
FileExt;Ignore;.json;Definition
FileExt;Ignore;.lock;Definition
FileExt;Ignore;.wsdl;Definition
FileExt;Ignore;.xml;Definition
FileExt;Ignore;.xsd;Definition
FileExt;Ignore;.designer.cs;Definition
FileExt;Ignore;.xib;Definition
FileExt;Ignore;.jar;Deploy
FileExt;Ignore;.gradle;Deploy
FileExt;Ignore;.wxs;Deploy (ms WiX)
FileExt;Ignore;.doc;Document
FileExt;Ignore;.docx;Document
FileExt;Ignore;.pdf;Document
FileExt;Ignore;.xls;Document
FileExt;Ignore;.xlsx;Document
FileExt;Ignore;.pubxml;Document
FileExt;Ignore;.eot;Font
FileExt;Ignore;.otf;Font
FileExt;Ignore;.ttf;Font
FileExt;Ignore;.woff;Font
FileExt;Ignore;.woff2;Font
FileExt;Ignore;.gif;Image
FileExt;Ignore;.ico;Image
FileExt;Ignore;.jpeg;Image
FileExt;Ignore;.jpg;Image
FileExt;Ignore;.png;Image
FileExt;Ignore;.svg;Image
FileExt;Ignore;.tiff;Image
FileExt;Ignore;.bmp;Image
FileExt;Ignore;.mp4;Binary
FileExt;Ignore;.mov;Binary
FileExt;Ignore;.mp3;Binary
FileExt;Ignore;.shp;Geo
FileExt;Ignore;.shx;AutoCAD
FileExt;Ignore;.dll;Binary
FileExt;Ignore;.exe;Binary
FileExt;Ignore;.jks;Binary
FileExt;Ignore;.keystore;Binary
FileExt;Ignore;.pyc;Binary
FileExt;Ignore;.pack.js;Binary
FileExt;Ignore;.min.js;Binary
FileExt;Ignore;.zip;Binary
FileExt;Ignore;.rar;Binary
FileExt;Ignore;.pdb;Binary
FileExt;Ignore;.nupkg;Binary
FileExt;Ignore;.swp;Binary
FileExt;Ignore;.css;Style
FileExt;Ignore;.css.map;Style
FileExt;Ignore;.map;Style
FileExt;Ignore;.scss;Style
FileExt;Ignore;.diff;Utility
FileExt;Ignore;.diff.txt;Utility
FileExt;Ignore;.spec.ts;Test
FileExt;Ignore;.gitignore;ChangeManagement
FileExt;Ignore;.gitlog.txt;ChangeManagement
FileExt;Ignore;.xcuserstate;Xcode
FileExt;Ignore;.lock;Versions
FileExt;Ignore;.md;Project description
PathPart;Contains;.vs;visual studio workplace
PathPart;Contains;.xcodeproj;xcode project
PathPart;Contains;.git;ChangeManagement
PathPart;Contains;mock;Test
PathPart;Contains;test;Test
PathPart;Contains;debug;Test
PathPart;Contains;jquery;3rdParty
PathPart;Contains;static;
PathPart;Contains;migrations;
PathPart;Contains;constants;
PathPart;StartsWith;.;
FileName;Ignore;angular-scenario.js;
FileName;Ignore;globalize.js;
FileName;Ignore;params.example.py;
FileName;Ignore;exceptions.py;
FileName;Contains;dev;
SourceLine;StartsWith;import ;